Requirement ID,Category,Requirement Summary,Linked Test Case IDs,Coverage Status,Execution Status,Related Defect IDs,Comments,Column1
,,,,,,,,
AUTH-001,Authentication,Valid credentials return a usable token.,TC-AUTH-001,Covered,Pass,,Valid authentication returned HTTP 200 and a usable token.,
AUTH-002,Authentication,Invalid password does not return a token.,TC-AUTH-002,Covered,Pass,,Invalid password returned the demonstration API bad-credentials response and no token.,
AUTH-003,Authentication,Missing username is rejected.,TC-AUTH-003,Covered,Pass,,Missing username returned the expected bad-credentials response and no token.,
AUTH-004,Authentication,Missing password is rejected.,TC-AUTH-004,Covered,Pass,,Missing password returned the expected bad-credentials response and no token.,
AUTH-005,Authentication,Blank credentials are rejected.,TC-AUTH-005,Covered,Pass,,Blank credentials returned the expected bad-credentials response and no token.,
BOOK-001,Booking Creation,First name and last name are required.,TC-BOOK-002; TC-BOOK-006,Covered,Fail,DEF-API-003,The API rejected missing-name requests but returned HTTP 500 instead of a clear client-validation response.,
BOOK-002,Booking Creation,Booking dates are required.,TC-BOOK-003,Covered,Fail,DEF-API-003,The API rejected the request missing booking dates but returned HTTP 500 instead of a clear client-validation response.,
BOOK-003,Booking Validation,Checkout must occur after check-in.,TC-BOOK-004; TC-UPD-005,Covered,Fail,DEF-API-001,The API accepted checkout dates earlier than check-in during creation and authenticated update.,
BOOK-004,Booking Validation,Total price must be greater than zero.,TC-BOOK-005; TC-VAL-001; TC-VAL-002,Covered,Fail,DEF-API-002,"The API accepted the valid minimum price, but also accepted zero and negative prices.",
BOOK-005,Booking Creation,A valid booking can be created.,TC-BOOK-001,Covered,Pass,,Valid booking creation returned HTTP 200 and a booking ID.,
BOOK-006,Booking Creation,Deposit status is stored accurately.,TC-BOOK-001,Covered,Pass,,The returned deposit flag matched the submitted value.,
BOOK-007,Booking Creation,Additional needs are stored accurately.,TC-BOOK-001; TC-UPD-004,Covered,Pass,,Additional-needs values were created and partially updated successfully.,
BOOK-008,Booking Creation,Create response contains a booking ID and submitted booking data.,TC-BOOK-001,Covered,Pass,,The create response returned a numeric booking ID and matching booking data.,
RET-001,Booking Retrieval,An existing booking can be retrieved.,TC-RET-001,Covered,Pass,,Existing booking retrieval returned HTTP 200 and matching data.,
RET-002,Booking Retrieval,A nonexistent booking returns a not-found response.,TC-RET-002,Covered,Pass,,A nonexistent booking returned HTTP 404.,
RET-003,Booking Retrieval,Bookings can be searched by customer name.,TC-RET-003,Covered,Pass,,Search returned an array containing the created booking ID.,
UPD-001,Booking Update,An authenticated full update succeeds.,TC-UPD-001,Covered,Pass,,The full update returned HTTP 200 and accurate updated data.,
UPD-002,Booking Update,An authenticated partial update succeeds.,TC-UPD-004,Covered,Pass,,The selected field changed and unrelated fields remained unchanged.,
UPD-003,Authorization,An unauthenticated update is rejected.,TC-UPD-002,Covered,Pass,,The API returned HTTP 403 and rejected the update.,
UPD-004,Booking Update,Updating a nonexistent booking is unsuccessful.,TC-UPD-003,Covered,Pass,,The API returned HTTP 405. The Day 5 baseline accepted HTTP 404 or 405.,
DEL-001,Booking Deletion,An authenticated deletion succeeds.,TC-DEL-001,Covered,Pass,,The API returned HTTP 201 for authorized deletion.,
DEL-002,Booking Deletion,A deleted booking is no longer retrievable.,TC-DEL-002,Covered,Pass,,The deleted booking returned HTTP 404.,
DEL-003,Authorization,An unauthenticated deletion is rejected.,TC-DEL-003,Covered,Pass,,The API returned HTTP 403 and rejected the deletion.,
DEL-004,Booking Deletion,Deleting a nonexistent booking is unsuccessful.,TC-DEL-004,Covered,Pass,,The API returned HTTP 405. The Day 5 baseline accepted HTTP 404 or 405.,
DATA-001,Database,Local booking data can be stored and validated.,SQL-VAL-01; SQL-VAL-02,Partially Covered,Pass,,Local schema population and stored records were validated; direct API persistence remains pending.,
DATA-002,Database,API response values can be compared directly with database records.,Planned for authorized API-to-database testing,Planned,Not Run,,The public API does not provide authorized access to its underlying database.,
DATA-003,Database,Booking identifiers are unique.,SQL-VAL-05,Covered,Pass,,No duplicate booking identifier groups were detected in the local portfolio database.,
DATA-004,Database,Bookings reference valid customers.,SQL-VAL-10; SQL-CON-04,Covered,Pass,,No orphan bookings were detected and the foreign-key constraint rejected an unknown customer.,
DATA-005,Database,Required database fields are enforced.,SQL-VAL-07; SQL-CON-01; SQL-CON-03,Covered,Pass,,Required fields were validated and invalid records were rejected by constraints.,
DATA-006,Database,Booking date integrity is enforced.,SQL-VAL-08; SQL-VAL-14; SQL-CON-05,Covered,Pass,,Local production dates were valid and invalid staging or inserted dates were detected or rejected.,
DATA-007,Database,Booking prices must be positive.,SQL-VAL-09; SQL-VAL-15; SQL-CON-06,Covered,Pass,,Local production prices were positive and invalid staging or inserted values were detected or rejected.,
DATA-008,Database,Database state is verified after API deletion.,Planned for API deletion and database verification,Planned,Not Run,,The local PostgreSQL database is not connected to the public API.,
NFR-001,Performance,Configured API requests complete within 2000 ms.,HEALTH-001; TC-AUTH-001; TC-BOOK-001; TC-RET-001; TC-UPD-001; TC-DEL-001,Partially Covered,Pass,,All configured response-time assertions passed. Final collection average response time was 36 ms.,
NFR-002,Error Handling,Invalid requests return clear client-validation responses.,TC-BOOK-002; TC-BOOK-003; TC-BOOK-004; TC-BOOK-005; TC-BOOK-006; TC-VAL-002; TC-UPD-005,Covered,Fail,DEF-API-001; DEF-API-002; DEF-API-003,The API accepted invalid business-rule data and returned HTTP 500 for missing required fields.,
NFR-003,Security,Public portfolio assets do not expose active credentials or tokens.,Repository security review; sanitized Postman exports,Partially Covered,Pass,,"Public-safe collection, environment, and runner-result files were created with secrets and dynamic values removed or redacted.",
